"","ID","model","term","estimate","conf.low","conf.high","statistic","p.value"
"344","2","9","BC",0,0,0,-0.01,0.99
"345","2","9","BECCS",0.59,0.21,1.69,-0.98,0.33
"346","2","9","Biochar",1.99,1.14,3.49,2.41,0.02
"347","2","9","DAC",3.23,1.86,5.6,4.16,0
"348","2","9","EW",2.3,0.74,7.09,1.45,0.15
"349","2","9","General",0.87,0.49,1.55,-0.47,0.64
"350","2","9","OF",1.83,0.34,10.01,0.7,0.49
"351","2","9","SCS",0.22,0.05,0.97,-2,0.05
"352","2","10","AR",0.09,0.01,0.67,-2.35,0.02
"353","2","10","BC",0,0,0,-0.01,0.99
"354","2","10","BECCS",0.83,0.29,2.39,-0.34,0.74
"355","2","10","Biochar",2.23,1.26,3.94,2.75,0.01
"356","2","10","DAC",3.93,2.24,6.91,4.75,0
"357","2","10","EW",2.44,0.79,7.54,1.56,0.12
"358","2","10","General",0.9,0.5,1.62,-0.35,0.72
"359","2","10","OF",1.38,0.24,7.88,0.37,0.71
"360","2","10","SCS",0.23,0.05,0.98,-1.98,0.05
"361","2","11","AR",0.08,0.01,0.63,-2.42,0.02
"362","2","11","BC",0,0,0,-0.01,0.99
"363","2","11","BECCS",0.65,0.23,1.87,-0.8,0.42
"364","2","11","Biochar",1.99,1.13,3.5,2.38,0.02
"365","2","11","DAC",3.16,1.81,5.54,4.03,0
"366","2","11","EW",2.11,0.7,6.41,1.32,0.19
"367","2","11","General",0.83,0.46,1.48,-0.64,0.53
"368","2","11","OF",0.82,0.16,4.35,-0.23,0.82
"369","2","11","SCS",0.23,0.05,0.97,-2,0.05
"370","2","12","AR",0.09,0.01,0.69,-2.33,0.02
"371","2","12","BC",0,0,0,-0.01,0.99
"372","2","12","BECCS",0.79,0.27,2.28,-0.43,0.66
"373","2","12","Biochar",2.19,1.24,3.89,2.69,0.01
"374","2","12","DAC",3.62,2.06,6.36,4.48,0
"375","2","12","EW",2.42,0.8,7.33,1.57,0.12
"376","2","12","General",0.93,0.51,1.67,-0.26,0.8
"377","2","12","OF",0.92,0.18,4.8,-0.1,0.92
"378","2","12","SCS",0.23,0.05,0.99,-1.97,0.05
"379","2","13","AR",0.09,0.01,0.67,-2.36,0.02
"380","2","13","BC",0,0,0,-0.01,0.99
"381","2","13","BECCS",0.83,0.29,2.41,-0.33,0.74
"382","2","13","Biochar",1.96,1.11,3.47,2.32,0.02
"383","2","13","DAC",3.28,1.87,5.77,4.14,0
"384","2","13","EW",2.54,0.85,7.66,1.66,0.1
"385","2","13","General",0.85,0.47,1.53,-0.53,0.59
"386","2","13","OF",1.3,0.23,7.26,0.29,0.77
"387","2","13","SCS",0.24,0.05,1.02,-1.94,0.05
"388","2","14","AR",0.11,0.01,0.8,-2.17,0.03
"389","2","14","BC",0,0,0,-0.01,0.99
"390","2","14","BECCS",0.83,0.29,2.39,-0.35,0.73
"391","2","14","Biochar",2.32,1.31,4.13,2.88,0
"392","2","14","DAC",3.29,1.87,5.8,4.11,0
"393","2","14","EW",2.32,0.76,7.13,1.47,0.14
"394","2","14","General",0.96,0.53,1.74,-0.14,0.89
"395","2","14","OF",1.32,0.25,7.04,0.33,0.74
"396","2","14","SCS",0.28,0.07,1.24,-1.68,0.09
"397","2","15","AR",0.11,0.02,0.83,-2.14,0.03
"398","2","15","BC",0,0,0,-0.01,0.99
"399","2","15","BECCS",0.96,0.34,2.75,-0.07,0.94
"400","2","15","Biochar",2.55,1.43,4.52,3.19,0
"401","2","15","DAC",4.02,2.29,7.07,4.85,0
"402","2","15","EW",2.91,0.97,8.75,1.9,0.06
"403","2","15","General",1.07,0.6,1.93,0.24,0.81
"404","2","15","OF",1.72,0.32,9.3,0.63,0.53
"405","2","15","SCS",0.29,0.07,1.25,-1.66,0.1
"406","2","16","AR",0.1,0.01,0.71,-2.3,0.02
"407","2","16","BC",0,0,0,-0.01,0.99
"408","2","16","BECCS",0.72,0.25,2.06,-0.62,0.54
"409","2","16","Biochar",1.96,1.11,3.48,2.31,0.02
"410","2","16","DAC",3.17,1.82,5.52,4.08,0
"411","2","16","EW",2.18,0.73,6.53,1.39,0.17
"412","2","16","General",0.92,0.52,1.65,-0.26,0.79
"413","2","16","OF",0.98,0.19,5.18,-0.02,0.98
"414","2","16","SCS",0.26,0.06,1.14,-1.79,0.07
"415","2","17","AR",0.11,0.01,0.8,-2.18,0.03
"416","2","17","BC",0,0,0,-0.01,0.99
"417","2","17","BECCS",0.76,0.26,2.17,-0.52,0.6
"418","2","17","Biochar",2.29,1.29,4.07,2.83,0
"419","2","17","DAC",3.05,1.76,5.31,3.95,0
"420","2","17","EW",2.32,0.77,6.97,1.5,0.13
"421","2","17","General",0.95,0.53,1.72,-0.17,0.87
"422","2","17","OF",0.98,0.18,5.39,-0.02,0.98
"423","2","17","SCS",0.26,0.06,1.15,-1.78,0.08
"424","2","18","AR",0.1,0.01,0.75,-2.24,0.02
"425","2","18","BC",0,0,0,-0.01,0.99
"426","2","18","BECCS",0.63,0.22,1.82,-0.85,0.4
"427","2","18","Biochar",2,1.12,3.56,2.34,0.02
"428","2","18","DAC",3.25,1.86,5.7,4.12,0
"429","2","18","EW",2.35,0.76,7.3,1.48,0.14
"430","2","18","General",0.97,0.54,1.75,-0.09,0.93
"431","2","18","OF",1.2,0.22,6.57,0.21,0.84
"432","2","18","SCS",0.26,0.06,1.16,-1.77,0.08
"433","2","19","AR",0.1,0.01,0.72,-2.28,0.02
"434","2","19","BC",0,0,0,-0.01,0.99
"435","2","19","BECCS",0.89,0.31,2.56,-0.22,0.82
"436","2","19","Biochar",2.16,1.2,3.87,2.58,0.01
"437","2","19","DAC",3.95,2.23,6.98,4.72,0
"438","2","19","EW",2.74,0.9,8.33,1.78,0.07
"439","2","19","General",0.97,0.53,1.76,-0.11,0.91
"440","2","19","OF",1.66,0.29,9.55,0.56,0.57
"441","2","19","SCS",0.26,0.06,1.13,-1.8,0.07
"442","2","20","AR",0.09,0.01,0.69,-2.32,0.02
"443","2","20","BC",0,0,0,-0.01,0.99
"444","2","20","BECCS",0.96,0.34,2.69,-0.09,0.93
"445","2","20","Biochar",1.96,1.11,3.48,2.31,0.02
"446","2","20","DAC",3.49,1.99,6.11,4.37,0
"447","2","20","EW",2.46,0.8,7.52,1.58,0.12
"448","2","20","General",0.89,0.5,1.6,-0.38,0.7
"449","2","20","OF",1.49,0.27,8.25,0.46,0.65
"450","2","20","SCS",0.26,0.06,1.11,-1.82,0.07
"451","2","21","AR",0.09,0.01,0.67,-2.35,0.02
"452","2","21","BC",0,0,0,-0.01,0.99
"453","2","21","BECCS",0.71,0.25,2.05,-0.63,0.53
"454","2","21","Biochar",2.31,1.31,4.07,2.9,0
"455","2","21","DAC",3.36,1.91,5.94,4.18,0
"456","2","21","EW",2.19,0.71,6.74,1.36,0.17
"457","2","21","General",0.88,0.49,1.58,-0.42,0.68
"458","2","21","OF",0.87,0.17,4.58,-0.16,0.87
"459","2","21","SCS",0.26,0.06,1.11,-1.82,0.07
"460","2","22","AR",0.07,0.01,0.55,-2.55,0.01
"461","2","22","BC",0,0,0,-0.01,0.99
"462","2","22","BECCS",0.65,0.23,1.82,-0.82,0.41
"463","2","22","Biochar",1.55,0.88,2.71,1.53,0.13
"464","2","22","DAC",2.77,1.6,4.78,3.64,0
"465","2","22","EW",1.79,0.6,5.35,1.05,0.29
"466","2","22","General",0.7,0.4,1.25,-1.19,0.23
